governance_item_id,rule_id,rule_name,business_name,description,severity,status,data_region_path,source_table,source_field,source_record_id,key_value,invalid_value,expected_condition,actual_condition,message,run_id,run_timestamp,company_code,agent_number,agent_name,policy_number,duplicate_count,original_policy_number,normalized_policy_number,policy_number_length,min_permitted_length,max_permitted_length,company_code_source_field,account_number_source_field,original_company_code,normalized_company_code,original_account_number,normalized_account_number,composite_business_key,reference_table,reference_field,reference_match_count,group_number,original_group_number,normalized_group_number,original_billing_name,normalized_billing_name,original_value,normalized_value,expected_value,governance_run_date,controlling_date,expected_prior_month_end,failure_category,plan,mortality_table,eti_mortality_table,gender,underwriting_class,band,issue_state,effective_date,min_allowed_date,max_allowed_date
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,204,7686S3,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7686S3' contains a blank ETI mortality table.,QuikPlCv plan '7686S3' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7686S3,,,M,NS,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,205,7687J3,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7687J3' contains a blank ETI mortality table.,QuikPlCv plan '7687J3' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7687J3,,,M,NS,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,206,7690DT,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7690DT' contains a blank ETI mortality table.,QuikPlCv plan '7690DT' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7690DT,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,207,7SDT10,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '7SDT10' contains a blank ETI mortality table.,QuikPlCv plan '7SDT10' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,7SDT10,,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,208,901ADB,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '901ADB' contains a blank ETI mortality table.,QuikPlCv plan '901ADB' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,901ADB,,,M,PR,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,209,9065WP,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '9065WP' contains a blank ETI mortality table.,QuikPlCv plan '9065WP' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,9065WP,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,210,9085WP,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '9085WP' contains a blank ETI mortality table.,QuikPlCv plan '9085WP' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,9085WP,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,211,90OLWP,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '90OLWP' contains a blank ETI mortality table.,QuikPlCv plan '90OLWP' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,90OLWP,,,M,00,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,212,910RWP,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '910RWP' contains a blank ETI mortality table.,QuikPlCv plan '910RWP' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,910RWP,,,M,NS,00,00,,,
DG-PLANVALUES,DG-PLANVALUES-002,Validate Plan Value ETI Mortality Table Reference,ETI Mortality Table Must Exist in QuikQxs,Ensure every populated normalized ETIMORT value exists exactly once in QuikQxs.,Critical,FAIL,Q:\CSO\CSO_Test_6_30_2026,QuikPlCv,ETIMORT,213,934SWP,,ETIMORT exists once in QuikQxs.MORT,QuikPlCv plan '934SWP' contains a blank ETI mortality table.,QuikPlCv plan '934SWP' contains a blank ETI mortality table.,DG-20260719_103948_701830,2026-07-19 10:39:48,,,,,,,,,,,,,,,,,,QuikQxs,MORT,0,,,,,,,,,,,,BLANK_VALUE,934SWP,,,M,NS,00,00,,,
